annotation_id,annotator,clause_id,created_at,doc,explanation,id,label,lead_time,regulation,text,updated_at,reg_list_raw,regulations_clean,text_clean,text_len,regulations_clean_str,gdpr_articles,flag_long
6930,1,289,2025-11-02T13:22:56.344764Z,oracle.txt,"[{""text"":""""}]",6930,Ambiguous,,"{""choices"":[""DPDP"",""PDPA"",""CCPA"",""APPI"",""GDPR"",""Other"",""HIPAA"",""LGPD""]}","Oracle employees are obligated to follow rules for password length and complexity, and keep their passwords confidential and secure at all times.",2025-11-02T13:22:56.344764Z,"['DPDP', 'PDPA', 'CCPA', 'APPI', 'GDPR', 'Other', 'HIPAA', 'LGPD']","['DPDP', 'PDPA', 'CCPA', 'APPI', 'GDPR', 'Other', 'HIPAA', 'LGPD']","Oracle employees are obligated to follow rules for password length and complexity, and keep their passwords confidential and secure at all times.",145,"DPDP, PDPA, CCPA, APPI, GDPR, Other, HIPAA, LGPD",[],False
7481,1,19,2025-11-02T13:22:56.467099Z,samsung.txt,"[{""text"":""""}]",7481,Ambiguous,,"{""choices"":[""APPI"",""DPDP"",""CCPA"",""GDPR"",""PDPA"",""LGPD"",""Other"",""HIPAA""]}","• COOKIES, BEACONS, AND SIMILAR TECHNOLOGIES • CONTACT US • US SUPPLEMENT TO THE SAMSUNG PRIVACY POLICY WHAT INFORMATION DO WE COLLECT?",2025-11-02T13:22:56.467099Z,"['APPI', 'DPDP', 'CCPA', 'GDPR', 'PDPA', 'LGPD', 'Other', 'HIPAA']","['APPI', 'DPDP', 'CCPA', 'GDPR', 'PDPA', 'LGPD', 'Other', 'HIPAA']","• COOKIES, BEACONS, AND SIMILAR TECHNOLOGIES • CONTACT US • US SUPPLEMENT TO THE SAMSUNG PRIVACY POLICY WHAT INFORMATION DO WE COLLECT?",135,"APPI, DPDP, CCPA, GDPR, PDPA, LGPD, Other, HIPAA",['Art.12'],False
3651,1,428,2025-11-02T13:22:55.390266Z,meta.txt,"[{""text"":""""}]",3651,Compliant,,"{""choices"":[""DPDP"",""Other"",""PDPA"",""CCPA"",""APPI"",""LGPD"",""GDPR"",""HIPAA""]}","We share the information that we collect, infrastructure, systems and technology with the other Meta Companies.",2025-11-02T13:22:55.390266Z,"['DPDP', 'Other', 'PDPA', 'CCPA', 'APPI', 'LGPD', 'GDPR', 'HIPAA']","['DPDP', 'Other', 'PDPA', 'CCPA', 'APPI', 'LGPD', 'GDPR', 'HIPAA']","We share the information that we collect, infrastructure, systems and technology with the other Meta Companies.",111,"DPDP, Other, PDPA, CCPA, APPI, LGPD, GDPR, HIPAA",['Art.12'],False
80,1,79,2025-11-02T13:22:54.613289Z,LG.txt,"[{""text"":""""}]",80,Compliant,,"{""choices"":[""DPDP"",""LGPD"",""APPI"",""CCPA"",""PDPA"",""GDPR"",""HIPAA"",""Other""]}",• Internet or network activity.,2025-11-02T13:22:54.613289Z,"['DPDP', 'LGPD', 'APPI', 'CCPA', 'PDPA', 'GDPR', 'HIPAA', 'Other']","['DPDP', 'LGPD', 'APPI', 'CCPA', 'PDPA', 'GDPR', 'HIPAA', 'Other']",• Internet or network activity.,31,"DPDP, LGPD, APPI, CCPA, PDPA, GDPR, HIPAA, Other",[],False
9146,1,38,2025-11-02T13:22:57.051983Z,worldline financial services.txt,"[{""text"":""""}]",9146,Compliant,,"{""choices"":[""Other"",""LGPD"",""DPDP"",""PDPA"",""APPI"",""CCPA"",""GDPR"",""HIPAA""]}","3.1.2 For operational, regulatory, reporting and administrative purposes and for providing its Products and Services in an efficient, sustainable and compliant way, Worldline may share Personal Data with other members of Worldline Group on the basis of its legitimate interest to improve the effi- ciency of its operations, enhance security and reduce administrative costs (see also clause 4.3).The processing of the Cardholders’ data received indirectly from the Merchant in the context of providing the Products and Services to the Merchant is processed on the basis of Worldline’s legitimate interest to provide the service to the Merchant in order for the electronic payment to be completed.",2025-11-02T13:22:57.051983Z,"['Other', 'LGPD', 'DPDP', 'PDPA', 'APPI', 'CCPA', 'GDPR', 'HIPAA']","['Other', 'LGPD', 'DPDP', 'PDPA', 'APPI', 'CCPA', 'GDPR', 'HIPAA']","3.1.2 For operational, regulatory, reporting and administrative purposes and for providing its Products and Services in an efficient, sustainable and compliant way, Worldline may share Personal Data with other members of Worldline Group on the basis of its legitimate interest to improve the effi- ciency of its operations, enhance security and reduce administrative costs (see also clause 4.3).The processing of the Cardholders’ data received indirectly from the Merchant in the context of providing the Products and Services to the Merchant is processed on the basis of Worldline’s legitimate interest to provide the service to the Merchant in order for the electronic payment to be completed.",695,"Other, LGPD, DPDP, PDPA, APPI, CCPA, GDPR, HIPAA","['Art.4', 'Art.6', 'Art.32']",False
1271,1,146,2025-11-02T13:22:54.857299Z,bt group.txt,"[{""text"":""""}]",1271,Compliant,,"{""choices"":[""DPDP"",""PDPA"",""GDPR"",""APPI"",""CCPA"",""LGPD"",""Other"",""HIPAA""]}","Each BT Data Processor or BT Sub-Processor will, in respect of Third-Party Personal Data cooperate and assist the relevant Third-Party Data Controller to comply with applicable Data Protection Legislation to the extent reasonably possible and within a reasonable timeframe.",2025-11-02T13:22:54.857299Z,"['DPDP', 'PDPA', 'GDPR', 'APPI', 'CCPA', 'LGPD', 'Other', 'HIPAA']","['DPDP', 'PDPA', 'GDPR', 'APPI', 'CCPA', 'LGPD', 'Other', 'HIPAA']","Each BT Data Processor or BT Sub-Processor will, in respect of Third-Party Personal Data cooperate and assist the relevant Third-Party Data Controller to comply with applicable Data Protection Legislation to the extent reasonably possible and within a reasonable timeframe.",273,"DPDP, PDPA, GDPR, APPI, CCPA, LGPD, Other, HIPAA",['Art.4'],False
7657,1,195,2025-11-02T13:22:56.521487Z,samsung.txt,"[{""text"":""""}]",7657,Ambiguous,,"{""choices"":[""DPDP"",""PDPA"",""CCPA"",""Other"",""GDPR"",""APPI"",""LGPD"",""HIPAA""]}","Samsung Ads may deliver personalized ads based on your demographic characteristics, preferences, choices, and interests by collecting certain information about your online activities.",2025-11-02T13:22:56.521487Z,"['DPDP', 'PDPA', 'CCPA', 'Other', 'GDPR', 'APPI', 'LGPD', 'HIPAA']","['DPDP', 'PDPA', 'CCPA', 'Other', 'GDPR', 'APPI', 'LGPD', 'HIPAA']","Samsung Ads may deliver personalized ads based on your demographic characteristics, preferences, choices, and interests by collecting certain information about your online activities.",183,"DPDP, PDPA, CCPA, Other, GDPR, APPI, LGPD, HIPAA",['Art.12'],False
34,1,33,2025-11-02T13:22:54.598188Z,LG.txt,"[{""text"":""""}]",34,Ambiguous,,"{""choices"":[""DPDP"",""APPI"",""CCPA"",""LGPD"",""PDPA"",""Other"",""GDPR"",""HIPAA""]}","At the network edge, firewalls, web application firewalls, and DDoS protection are used to filter attacks.",2025-11-02T13:22:54.598188Z,"['DPDP', 'APPI', 'CCPA', 'LGPD', 'PDPA', 'Other', 'GDPR', 'HIPAA']","['DPDP', 'APPI', 'CCPA', 'LGPD', 'PDPA', 'Other', 'GDPR', 'HIPAA']","At the network edge, firewalls, web application firewalls, and DDoS protection are used to filter attacks.",106,"DPDP, APPI, CCPA, LGPD, PDPA, Other, GDPR, HIPAA",[],False
3273,1,50,2025-11-02T13:22:55.300527Z,meta.txt,"[{""text"":""""}]",3273,Ambiguous,,"{""choices"":[""APPI"",""DPDP"",""LGPD"",""GDPR"",""PDPA"",""HIPAA"",""CCPA"",""Other""]}","Metadata[7] about content and messages, subject to applicable law.",2025-11-02T13:22:55.300527Z,"['APPI', 'DPDP', 'LGPD', 'GDPR', 'PDPA', 'HIPAA', 'CCPA', 'Other']","['APPI', 'DPDP', 'LGPD', 'GDPR', 'PDPA', 'HIPAA', 'CCPA', 'Other']","Metadata[7] about content and messages, subject to applicable law.",66,"APPI, DPDP, LGPD, GDPR, PDPA, HIPAA, CCPA, Other",['Art.8'],False
305,1,11,2025-11-02T13:22:54.656847Z,amazon.txt,"[{""text"":""""}]",305,Ambiguous,,"{""choices"":[""APPI"",""LGPD"",""DPDP"",""PDPA"",""CCPA"",""Other"",""GDPR"",""HIPAA""]}",What Information Can I Access in My Account?,2025-11-02T13:22:54.656847Z,"['APPI', 'LGPD', 'DPDP', 'PDPA', 'CCPA', 'Other', 'GDPR', 'HIPAA']","['APPI', 'LGPD', 'DPDP', 'PDPA', 'CCPA', 'Other', 'GDPR', 'HIPAA']",What Information Can I Access in My Account?,44,"APPI, LGPD, DPDP, PDPA, CCPA, Other, GDPR, HIPAA","['Art.12', 'Art.15']",False
