
annotation_id,annotator,clause_id,created_at,doc,explanation,id,label,lead_time,regulation,text,updated_at,reg_list_raw,regulations_clean,text_clean,text_len,regulations_clean_str,gdpr_articles,flag_long
6201,1,217,2025-11-02T13:22:56.178857Z,nature finance.txt,"[{""text"":""""}]",6201,Compliant,,"{""choices"":[""DPDP"",""CCPA"",""PDPA"",""LGPD"",""APPI"",""HIPAA"",""GDPR"",""Other""]}","For contractual data, the storage is stipulated by statutory retention obligations.",2025-11-02T13:22:56.178857Z,"['DPDP', 'CCPA', 'PDPA', 'LGPD', 'APPI', 'HIPAA', 'GDPR', 'Other']","['DPDP', 'CCPA', 'PDPA', 'LGPD', 'APPI', 'HIPAA', 'GDPR', 'Other']","For contractual data, the storage is stipulated by statutory retention obligations.",83,"DPDP, CCPA, PDPA, LGPD, APPI, HIPAA, GDPR, Other","['Art.6', 'Art.8']",False
4590,1,653,2025-11-02T13:22:55.603918Z,microsoft.txt,"[{""text"":""""}]",4590,Compliant,,"{""choices"":[""APPI"",""LGPD"",""DPDP"",""CCPA"",""PDPA"",""GDPR"",""HIPAA"",""Other""]}","Similarly, we process all categories of personal data for the purposes described in the How we use personal data section, such as meeting our legal obligations, developing our workforce, and doing research.",2025-11-02T13:22:55.603918Z,"['APPI', 'LGPD', 'DPDP', 'CCPA', 'PDPA', 'GDPR', 'HIPAA', 'Other']","['APPI', 'LGPD', 'DPDP', 'CCPA', 'PDPA', 'GDPR', 'HIPAA', 'Other']","Similarly, we process all categories of personal data for the purposes described in the How we use personal data section, such as meeting our legal obligations, developing our workforce, and doing research.",206,"APPI, LGPD, DPDP, CCPA, PDPA, GDPR, HIPAA, Other","['Art.4', 'Art.6']",False
6594,1,30,2025-11-02T13:22:56.265510Z,nokia.txt,"[{""text"":""""}]",6594,Compliant,,"{""choices"":[""DPDP"",""PDPA"",""CCPA"",""LGPD"",""GDPR"",""APPI"",""HIPAA"",""Other""]}","Where required by local law, country level Data Protection Officers are appointed following alignment with country senior executives.",2025-11-02T13:22:56.265510Z,"['DPDP', 'PDPA', 'CCPA', 'LGPD', 'GDPR', 'APPI', 'HIPAA', 'Other']","['DPDP', 'PDPA', 'CCPA', 'LGPD', 'GDPR', 'APPI', 'HIPAA', 'Other']","Where required by local law, country level Data Protection Officers are appointed following alignment with country senior executives.",133,"DPDP, PDPA, CCPA, LGPD, GDPR, APPI, HIPAA, Other",['Art.37'],False
594,1,161,2025-11-02T13:22:54.717518Z,apple.txt,"[{""text"":""""}]",594,Compliant,,"{""choices"":[""DPDP"",""LGPD"",""CCPA"",""APPI"",""PDPA"",""Other"",""HIPAA"",""GDPR""]}","To view our certifications, visit Global CBPR System Directory.",2025-11-02T13:22:54.717518Z,"['DPDP', 'LGPD', 'CCPA', 'APPI', 'PDPA', 'Other', 'HIPAA', 'GDPR']","['DPDP', 'LGPD', 'CCPA', 'APPI', 'PDPA', 'Other', 'HIPAA', 'GDPR']","To view our certifications, visit Global CBPR System Directory.",63,"DPDP, LGPD, CCPA, APPI, PDPA, Other, HIPAA, GDPR",[],False
4071,1,134,2025-11-02T13:22:55.486215Z,microsoft.txt,"[{""text"":""""}]",4071,Compliant,,"{""choices"":[""CCPA"",""LGPD"",""DPDP"",""PDPA"",""APPI"",""HIPAA"",""Other"",""GDPR""]}","For example, we use error reports to improve security features, search queries and clicks in Bing to improve the relevancy of the search results, usage data to determine what new features to prioritize, and voice data to develop and improve speech recognition accuracy.",2025-11-02T13:22:55.486215Z,"['CCPA', 'LGPD', 'DPDP', 'PDPA', 'APPI', 'HIPAA', 'Other', 'GDPR']","['CCPA', 'LGPD', 'DPDP', 'PDPA', 'APPI', 'HIPAA', 'Other', 'GDPR']","For example, we use error reports to improve security features, search queries and clicks in Bing to improve the relevancy of the search results, usage data to determine what new features to prioritize, and voice data to develop and improve speech recognition accuracy.",269,"CCPA, LGPD, DPDP, PDPA, APPI, HIPAA, Other, GDPR","['Art.5', 'Art.8', 'Art.32']",False
6918,1,277,2025-11-02T13:22:56.336663Z,oracle.txt,"[{""text"":""""}]",6918,Compliant,,"{""choices"":[""DPDP"",""LGPD"",""APPI"",""PDPA"",""CCPA"",""Other"",""GDPR"",""HIPAA""]}","Oracle uses the principle of ""Least privilege"" in which user permissions and system functionality are carefully evaluated and access is restricted to the resources required for users or systems to perform their duties.",2025-11-02T13:22:56.336663Z,"['DPDP', 'LGPD', 'APPI', 'PDPA', 'CCPA', 'Other', 'GDPR', 'HIPAA']","['DPDP', 'LGPD', 'APPI', 'PDPA', 'CCPA', 'Other', 'GDPR', 'HIPAA']","Oracle uses the principle of ""Least privilege"" in which user permissions and system functionality are carefully evaluated and access is restricted to the resources required for users or systems to perform their duties.",218,"DPDP, LGPD, APPI, PDPA, CCPA, Other, GDPR, HIPAA",['Art.15'],False
3192,1,272,2025-11-02T13:22:55.287105Z,mercedes benz.txt,"[{""text"":""""}]",3192,Compliant,,"{""choices"":[""CCPA"",""PDPA"",""DPDP"",""LGPD"",""APPI"",""GDPR"",""Other"",""HIPAA""]}",The Chief Officer Corporate Data Protection keeps a fully updated list of all Group Companies that are bound by this Policy (further applicable regulation “List of Group Companies bound by the Data Protection Policy EU”) and keeps track of and record any updates to this Policy and provides the necessary information to the data subjects or supervisory authorities upon request.,2025-11-02T13:22:55.287105Z,"['CCPA', 'PDPA', 'DPDP', 'LGPD', 'APPI', 'GDPR', 'Other', 'HIPAA']","['CCPA', 'PDPA', 'DPDP', 'LGPD', 'APPI', 'GDPR', 'Other', 'HIPAA']",The Chief Officer Corporate Data Protection keeps a fully updated list of all Group Companies that are bound by this Policy (further applicable regulation “List of Group Companies bound by the Data Protection Policy EU”) and keeps track of and record any updates to this Policy and provides the necessary information to the data subjects or supervisory authorities upon request.,378,"CCPA, PDPA, DPDP, LGPD, APPI, GDPR, Other, HIPAA",['Art.12'],False
853,1,10,2025-11-02T13:22:54.770493Z,bank of america.txt,"[{""text"":""""}]",853,Non-Compliant,,"{""choices"":[""Other"",""DPDP"",""LGPD"",""CCPA"",""APPI"",""GDPR"",""PDPA"",""HIPAA""]}","Please do not send us any Special Data through the Services or otherwise, unless we specifically 2 request this information from you or make a due diligence enquiry of you where the response necessitates you disclosing Special Data to us.",2025-11-02T13:22:54.770493Z,"['Other', 'DPDP', 'LGPD', 'CCPA', 'APPI', 'GDPR', 'PDPA', 'HIPAA']","['Other', 'DPDP', 'LGPD', 'CCPA', 'APPI', 'GDPR', 'PDPA', 'HIPAA']","Please do not send us any Special Data through the Services or otherwise, unless we specifically 2 request this information from you or make a due diligence enquiry of you where the response necessitates you disclosing Special Data to us.",238,"Other, DPDP, LGPD, CCPA, APPI, GDPR, PDPA, HIPAA",['Art.12'],False
5020,1,1083,2025-11-02T13:22:55.698189Z,microsoft.txt,"[{""text"":""""}]",5020,Compliant,,"{""choices"":[""DPDP"",""PDPA"",""APPI"",""GDPR"",""CCPA"",""HIPAA"",""Other"",""LGPD""]}",Surface Duo The Surface Duo is a device featuring two screens that fits in your pocket for productivity on the go.,2025-11-02T13:22:55.698189Z,"['DPDP', 'PDPA', 'APPI', 'GDPR', 'CCPA', 'HIPAA', 'Other', 'LGPD']","['DPDP', 'PDPA', 'APPI', 'GDPR', 'CCPA', 'HIPAA', 'Other', 'LGPD']",Surface Duo The Surface Duo is a device featuring two screens that fits in your pocket for productivity on the go.,114,"DPDP, PDPA, APPI, GDPR, CCPA, HIPAA, Other, LGPD",[],False
7345,1,68,2025-11-02T13:22:56.440419Z,robinhood.txt,"[{""text"":""""}]",7345,Compliant,,"{""choices"":[""DPDP"",""CCPA"",""Other"",""PDPA"",""APPI"",""LGPD"",""GDPR"",""HIPAA""]}",Enabling services provided by third parties which are necessary for our business and for us to provide our services to you.,2025-11-02T13:22:56.440419Z,"['DPDP', 'CCPA', 'Other', 'PDPA', 'APPI', 'LGPD', 'GDPR', 'HIPAA']","['DPDP', 'CCPA', 'Other', 'PDPA', 'APPI', 'LGPD', 'GDPR', 'HIPAA']",Enabling services provided by third parties which are necessary for our business and for us to provide our services to you.,123,"DPDP, CCPA, Other, PDPA, APPI, LGPD, GDPR, HIPAA",[],False
